Date,ONI,cocoa_price,coffee_price,gold_price,soybean_price,wheat_price,natural_gas_price,us_interest_rate,usd_index
2009-01-31,-0.89,2771.0,118.9000015258789,927.2999877929688,980.0,568.0,4.416999816894531,0.2199999988079071,86.0
2009-04-30,-0.35,2345.0,115.0,890.7000122070312,1070.0,524.25,3.372999906539917,0.125,84.61000061035156
2009-05-31,0.03,2588.0,137.39999389648438,978.7999877929688,1184.0,637.25,3.8350000381469727,0.12999999523162842,80.43000030517578
2009-06-30,0.34,2487.0,117.30000305175781,927.0999755859375,1226.25,511.25,3.8350000381469727,0.18000000715255737,80.12999725341797
2009-07-31,0.5,2892.0,127.8499984741211,953.7000122070312,1134.0,528.25,3.6530001163482666,0.17499999701976776,78.3499984741211
2009-08-31,0.56,2772.0,120.9000015258789,951.7000122070312,1100.0,471.0,2.9769999980926514,0.12999999523162842,78.16999816894531
2009-09-30,0.66,3140.0,127.80000305175781,1008.0,927.0,457.5,4.841000080108643,0.11500000208616257,76.6500015258789
2009-10-31,0.92,3297.0,135.5,1039.699951171875,978.0,494.25,5.045000076293945,0.04500000178813934,76.30000305175781
2009-12-31,1.5,3289.0,135.9499969482422,1095.199951171875,1039.75,541.5,5.572000026702881,0.05000000074505806,77.86000061035156
2010-01-31,1.47,3184.0,131.6999969482422,1083.0,914.0,474.0,5.13100004196167,0.07000000029802322,79.45999908447266
2010-02-28,1.21,2917.0,129.0500030517578,1118.300048828125,951.0,506.5,4.813000202178955,0.11500000208616257,80.36000061035156
2010-03-31,0.88,2969.0,136.14999389648438,1113.300048828125,941.0,450.5,3.86899995803833,0.15000000596046448,81.06999969482422
2010-04-30,0.38,3229.0,135.1999969482422,1180.0999755859375,989.5,491.75,3.9200000762939453,0.1550000011920929,81.87000274658203
2010-05-31,-0.16,2965.0,134.25,1212.199951171875,937.75,457.75,4.341000080108643,0.15000000596046448,86.58999633789062
2010-06-30,-0.66,2894.0,164.1999969482422,1245.5,948.5,464.75,4.616000175476074,0.17000000178813934,86.0199966430664
2010-07-31,-0.98,3091.0,176.3000030517578,1181.699951171875,1052.5,661.5,4.922999858856201,0.14000000059604645,81.54000091552734
2010-09-30,-1.43,2814.0,183.0500030517578,1307.800048828125,1106.75,674.0,3.871999979019165,0.1550000011920929,78.72000122070312
2010-10-31,-1.54,2797.0,203.4499969482422,1357.0999755859375,1226.0,717.25,4.038000106811523,0.10999999940395355,77.2699966430664
2010-11-30,-1.57,2772.0,200.9499969482422,1385.0,1243.0,650.25,4.179999828338623,0.1599999964237213,81.19999694824219
2010-12-31,-1.48,3035.0,240.5,1421.0999755859375,1393.75,794.25,4.40500020980835,0.11500000208616257,79.02999877929688
2011-01-31,-1.29,3352.0,244.8000030517578,1333.800048828125,1413.0,840.75,4.420000076293945,0.14499999582767487,77.73999786376953
2011-02-28,-1.06,3757.0,271.70001220703125,1409.300048828125,1357.25,782.5,4.0370001792907715,0.13500000536441803,76.88999938964844
2011-03-31,-0.85,2952.0,264.1499938964844,1438.9000244140625,1410.25,763.25,4.388999938964844,0.09000000357627869,75.86000061035156
2011-04-30,-0.68,3390.0,299.3500061035156,1556.0,1392.75,769.25,4.697999954223633,0.03999999910593033,72.93000030517578
2011-06-30,-0.34,3170.0,265.3500061035156,1502.300048828125,1306.25,584.75,4.374000072479248,0.014999999664723873,74.30000305175781
2011-07-31,-0.37,2974.0,239.5500030517578,1628.300048828125,1354.25,672.5,4.144999980926514,0.09000000357627869,73.9000015258789
2011-08-31,-0.5,3098.0,289.1000061035156,1828.5,1449.0,745.25,4.053999900817871,0.014999999664723873,74.12999725341797
2011-09-30,-0.76,2608.0,228.89999389648438,1620.4000244140625,1179.0,609.25,3.6659998893737793,0.009999999776482582,78.55000305175781
2011-10-31,-0.94,2696.0,226.9499969482422,1724.199951171875,1207.5,628.25,3.934000015258789,0.004999999888241291,76.16999816894531
2011-11-30,-1.02,2162.0,233.8000030517578,1745.5,1131.25,595.75,3.549999952316284,0.014999999664723873,78.38999938964844
2011-12-31,-0.92,2109.0,226.85000610351562,1565.800048828125,1198.5,652.75,2.989000082015991,0.004999999888241291,80.16999816894531
2012-02-29,-0.56,2383.0,203.14999389648438,1709.9000244140625,1313.5,664.25,2.615999937057495,0.07500000298023224,78.7300033569336
2012-03-31,-0.44,2219.0,182.4499969482422,1669.300048828125,1403.0,660.75,2.125999927520752,0.06499999761581421,78.93000030517578
2012-05-31,-0.18,2083.0,160.64999389648438,1562.5999755859375,1340.0,643.75,2.421999931335449,0.05999999865889549,83.04000091552734
2012-06-30,0.03,2289.0,170.10000610351562,1603.5,1512.75,739.0,2.8239998817443848,0.07999999821186066,81.6500015258789
2012-08-31,0.39,2656.0,164.5500030517578,1684.5999755859375,1764.5,870.0,2.7990000247955322,0.08500000089406967,81.25
2012-09-30,0.37,2516.0,173.5,1771.0999755859375,1601.0,902.5,3.319999933242798,0.09000000357627869,79.94000244140625
2012-10-31,0.28,2388.0,154.64999389648438,1717.5,1547.0,864.5,3.691999912261963,0.10499999672174454,79.91999816894531
2012-11-30,0.13,2538.0,142.10000610351562,1710.9000244140625,1438.75,844.75,3.561000108718872,0.07500000298023224,80.1500015258789
2012-12-31,-0.03,2236.0,143.8000030517578,1674.800048828125,1418.75,778.0,3.3510000705718994,0.03500000014901161,79.7699966430664
2013-01-31,-0.24,2205.0,146.9499969482422,1660.5999755859375,1468.5,779.5,3.3389999866485596,0.06499999761581421,79.20999908447266
2013-02-28,-0.28,2146.0,142.64999389648438,1577.699951171875,1474.25,707.75,3.4860000610351562,0.10000000149011612,81.9800033569336
2013-03-31,-0.23,2170.0,137.14999389648438,1594.800048828125,1404.75,687.75,4.02400016784668,0.06499999761581421,82.98999786376953
2013-04-30,-0.2,2368.0,134.9499969482422,1472.199951171875,1467.75,721.75,4.3429999351501465,0.04500000178813934,81.7300033569336
